muong,viet,mu_sentence,vi_sentence
ảo dáp,áo giáp,Cải nì là cải ảo dáp.,Cái mày là cái áo giáp.
ảo ẻ,nhau,"Cã tế, ảo ẻ tha thước pẫu rằng nhau tiền đão.","Lúc sinh con, nhau ra trước, người ta bảo đó là nhau tiền đạo (nơi chôn nhau cắt rốn)."
ảo gẩm,áo gấm,ảo gẩm ti khẩm.,áo gấm đi đêm.
ảo kép,áo kép,Ngày hỗi pẫu măc ảo kép.,Ngày hội người ta mặc áo kép.
ảo kềl,áo gối,Ủn Phúc pả ảo kềl thốch lẳm.,Cô Phúc khôu áo gối đẹp lắm.
ảo khoang,áo choàng,Pái nì băl ảo khoang chắc thốch.,Vải này may áo choàng chắc là đẹp.
Ảo lẵn,áo lặn,Cải nì là ảo lẵn.,Cái này là áo lặn.
ảo lót,áo lót,Ho ói khây măc ảo lót.,Tôi ít khi mặc áo lót.
ảo lũa,áo lụa,"Ảo lũa, ảo lĩnh.","Áo lụa, áo lĩnh."
ảo mưa,áo mưa,"Da tỉ chỡ, mua đủm ho môch cải ảo mưa.",Cậu đi chợ mua giùm tôi một cái áo mưa.
ảo pẳn,áo ngắn,Ảo nì hốc là ảo pẳn.,Áo này gọi là áo ngắn.
ảo pông,áo bông,Khẳng chả phái cỏ ảo pông tí măc.,Mùa rét phải có áo bông để mặc.
ảo tainh,áo đan,"Ảo len nì là ảo tainh, chăng phái ảo chuông.","Chiếc áo len này là áo đan, không phải là áo dệt."
ảo tan,áo đơn,Ảo kép ảo tan ủn mãi tỏng tàn tỉ dỗng.,Các cô gái mặc áo hép áo đơn kéo thành đoàn đi chơi.
ảo táy,áo ngủ,Ảo rỗng nì là ảo táy.,Áo rộng này là áo ngủ.
ảo thẳm,áo tắm,Thẳm pế pẫu hay măc ảo thẳm.,Khi tắm biển người ta hay mặc áo tắm.
ảo tlòn,vải bọc ngoài quan tài,,
ảo tỗi,áo giấy đậy ngoài quan tài của người chết thuộc họ quyền quý,,
áo tơi,áo tơi,Ảo tơi pẫu tainh pằng lả mỉ mùi. Áo ứơi người ta dan bằng lá cọ.,
áp,áp (sát),Áp mả pao nầng.,Áp má vào vách.
áp cháo,áp chảo,Mỏn nhúc áp cháo nì điênh ăn lẳm.,Món thịt áp chảo này ăn ngon lắm.
ay,ai,"Ay tỉ pỡi da, hay là da tỉ môch tlủa?.","Ái đi với anh, hay là anh đi một mình?"
ay,ấy,Ay từng.,Ấy đừng.
ay,cũng,Là pỉ ay ản.,Làm thế cũng được.
ay,cũng,Móng mưa ay chăng mưa.,Mong mưa mỗi mà cũng chẳng thấy mưa.
ay ay,ai ai,Ay ay y hảo môch cuôc khổng hãnh phúc.,Ai ai cũng muốn có một cuộc sống hạnh phúc.
ay đỉ,"ai đấy, ai đó","Ay đỉ, cử bớ cứa pao.","Ai đấy, cứ mở cửa vào."
ay rằng,ấy (tiếng đệm trong mo),,
ay ti,ấy (tiếng đệm trong mo),,
ay tú,cũng đủ,"Cơm đo, hão ay tú.","Cơm no, rượu cũng đủ."
ay yểng,"nghe theo, vâng lời",Pô po ho ay yểng.,Nói sao thì tôi cũng nghe theo.
ăn,ăn,Tôi ăn cơm.,Tôi ăn cơm.
ăn,"thắng, ăn",Dỗng xố xổ môch ăn páy mươl.,Chơi xổ xố một ăn bảy mươi.
ăn bảm,ăn bám,Ngay chăng chĩu là wiêc là tửa ăn bảm.,Ai không chịu làm việc là người ăn bám.
ăn buôl,ăn vụng,Ăn buôl xẩu lẳm.,Ăn vụng xấu lắm.
ăn cháng bỏi,ăn nhạt,Enh hảo ăn chẳm hay ăn cháng bỏi?,Anh muốn ăn mặn hay ăn nhạt?
ăn chay,ăn chay,Tlước ăn chay khau ăn nhúc.,Trước ăn chay sauăn thịt.
ăn chắc mặc pền,ăn chắc mặc bền,Ha phái tỉnh kể ăn chăc măc pền.,Ta phải tính kể ăn chắc mặc bền.
ăn chẳm,ăn mặn,Ăn chẳm hay khát đác.,Ăn mặn hay bhót nước.
ăn chơi,"ăn chơi, chơi bời",Ăn chơi ớ dỗng nơi tàng tlal ảng mãi.,Ăn chơi ở nơi trai gái tỏ tình.
ăn cỗ,ăn cỗ,Ngày dao ti ăn cỗ.,Ngày mai đi ăn cỗ.
ăn cơm đếp,ăn xôi,Mõl ưa ăn cơm đếp.,Người Mường thích ăn xôi.
ăn cơm ngày,ăn sáng,,
ăn cướp,ă cướp,Thàng đỉ cỏ tưởng ăn cướp.,Thằng ấy có tướng ăn cướp.
ăn dả,"ăn giá, thỏa thuận giá",Cải nì ăn dả hãng nò?.,Cái này giá bao nhiêu?
ăn dan,ăn gian. Tẻnh quay pẫu hay ăn dan,Khi đánh bạc người ta hay ăn gian.,
ăn dòi,ăn dè,Kenh ói phái ăn đòi.,"Thức ăn ít, phải ăn dè."
ăn dỗ,ăn giỗ,May nì ho ti ăn dỗ ớ quêl tliênh.,Hôm nay tôi đi ăn giỗ ở xóm trên.
ăn dỗng,ăn chơi,Thấc nì là đỗ ăn dỗng.,Thức này là đồ ăn chơi.
ăn dỗng ớ dẵng,"ăn chơi, ở chơi chốn ấy",Ăn đỗng ớ dẫng pỡi hà têm may cho tẩng nhở.,Chơi uới nhau đêm nay cho thỏa nỗi nhớ.
ăn đeo,ăn ít,Nả ăn đeo lẳm.,Nó ăn ít lắm.
ăn hùa,ăn nhờ,Nhó ăn hùa cơm pổ mễ tí cá.,Khi còn nhỏ ăn nhờ cơm bố mẹ để lớn; Khi còn nhỏ được bố mẹ nuôi nấng cho khôn lớn.
ăn hương,ăn hương (chỉ dùng khi thắp hương để cúng bái),Ăn hương ỏng khỏi.,Ăn hương uống khói; thắp hương (lời trong cúng bái).
ăn kẻn,khảnh ăn,Con nhà nì nả hay ăn kên lẳm.,Con nhờ này khánh ăn lắm.
ăn khao,ăn khao,Ông Tin ăn khao nhà mới.,Ông Tin ăn khao nhà mới.
ăn khớp,ăn khớp,Chăng ăn khớp.,Không ăn khớp.
ăn kiêng,ăn kiêng,Tửa pẫn phái ăn kiêng đồ hách.,Người mới đẻ phải ăn kiêng chất tanh.
ăn lãi,ăn lãi,"Cho wăl tiền, ăn lãi kiếu mễ nì dàu to đã.",Cho vay tiền để ăn lãi kiểu bà này thì giàu to đấy.
ăn lẵng ớ lãi,ở lại,Enh ti wềl nhà wềl tũn ủn ăn lẵng ớ lãi căm nhở căm thương.,"Anh đi về nhà (anh), em ở lại với cả lòng nhớ thương."
ăn lẫn,"ăn thêm, ăn nữa",Thàng nì ăn tà đo mé còn hảo ăn lẫn.,Thằng này ăn đã no nhưng vẫn muốn ăn nữa.
ăn lót tã,ăn lót dạ,Ủn enh pao ăn lót tã tlước cã ti là wiêc.,Anh em ăn lót dạ trước khi đi làm việc.
ăn lọc,"ăn lộc, hưởng lộc",Nả ăn lôc pổ mễ nả.,Nó được hưởng lộc bố mẹ nó.
ăn lỗm,"ăn cắp, ăn trộm",Tãi là po da ti ăn lỗm cúa pẫu?.,Tại sao anh đi ăn cắp của nhà người ta?
ăn lỗm ăn liễn,ăn trộm,Ăn lỗm ăn liễn là chí mà điênh mõl xấu.,Ăn trộm làm cái gì để thành kẻ xấu.
ăn mày,ăn mày,"Ti ăn mày, chăng mắt xẩu hố à?.",Đi ăn mày không xấu hổ à?
ăn măc,ăn mặc,Ủn Tư ăn măc luỗm thuỗm quả.,Em Tư ăn mặc lôi thôi quá.
ăn mờng,ăn mừng,"Tẩng ổm, ho phái ăn mờng.",Khởi ốm tôi phải ăn mừng.
ăn nằm,ăn nằm,Nả ăn nằm pỡi rà tà lô.,Chúng ăn nằm với nhau đã lâu.
ăn nòm,ăn cưới,Ngày dao ti ăn nòm ủn Tư.,Ngày mai đi ăn cưới em Tư.
ăn ói,ăn ít,Po da ăn ói mẫn đĩ ủn?,Sao em ăn ít thế?
ăn ớ,ăn ở,Mã Đông ăn ớ điênh mõl phúc hẫu là hong.,Bờ Đông là người ăn ở phúc hậu.
ăn pỗ,ăn nói,Phái tâp ăn pỗ cho tú tể.,Phải tập ăn nói cho tử tế.
ăn pớch,ăn bớt,Ăn pớch phần cúa pẫu mà tem thỗi.,Đừng ăn bớt phần của người khác mà mắc tội.
ăn ró,ăn cơm mà không có thức ăn,Pữa hôm nay nhà ho ăn ró.,Bữa tối nay nhà tôi ăn cơm không có thức ăn.
ăn ró,ăn mà không chịu trả tiền; ăn không,Nả ăn ró cúa mễ đỉ đăm cải pẻnh mà chăng tlá tiền.,Nó ăn không của bà ấy năm cái bánh mà không trả tiên.
ẩm,cái ấm,ỏng hết pa ẩm đác chua tẩng khát.,Uống hết ba ấm nước chưa đã khát.
ẩm,ấm,"Hôm may tlời đẳng ẩm rồi, chăng chả nưa.",Hôm nay trời nắng ấm rồi không lạnh nữa.
ẩm áp,ấm áp,Thiểng enh ẩm áp cơ nồng.,Tiếng anh ấm áp lắm thay.
ẩm ẩm,âm ấm,Đác hơi ẩm ẩm vừa đã chở là nỏng mẵn.,Nước âm ấm thì vừa đừng làm nóng quá.
ẩm ở,ấm ớ,"Da ẩm ở mẵn đỉ, lần khau ay tin da nưa?","Anh ấm ớ quá uậy, thì lần sau ai tin anhnữa?"
ẩm pu,cái ốm có hình như cái bu nhốt gà,,
ẩm ức,ấm ức,Còn măng ẩm ức tlong tlỗng lẳm.,Còn cảm thấy trong lòng ấm ức lắm.
ấm,ẩm,Tlong puồng nì ấm lẳm.,Trong buông này ẩm lắm.
ấm,"ướt, chưa khô","Cải ảo nì còn ấm, tà khô no.",Cái áo này chưa khô.
ấm hấm,"âm âm (tiếng sấm rền vang từ xa vọng lại), lâm râm",Tau tlỗng ấm hấm.,Đau bụng lâm râm / lâm râm đau bụng.
ân xả,ân xá,Nả phái tù hal năm rồi ản ân xả.,Nó phải tù hai năm thì được ân xá.
ẩn hành,"ấn hành, xuất bản",Môch quyến khách pằng thiểng Mõl tà ản ẩn hành.,Một quyển sách bằng tiếng Mường đã được ấn hành.
âp,ập,Khỗ mưa âp tiểnh.,Cơn mưa ập đến.
ấp,ấp,,
ấp,ấp,Ca ấp tlởng.,Gà ấp trứng.
ấp ú,ấp ú,Cảy ấp ú tàn con thơ.,Mẹ thương yêu ấp ủ đàn con nhỏ.
âu,âu (đựng nước),,
âu,gâu (tiếng chó sủa),Con chỏ nả tẽ âu âu.,Con chó sủa gâu gâu.
ầu ầu,ều ều (tiếng gọi chó),"Ầu ầu, con chỏ tôi ớ no rồi?.","Ều ều, con chó của tôi ở đâu rôi?"
Ấu,ẩu,Enh đỉ lải xe ấu lẳm.,Anh đó lái xe ẩu lắm.
Ấu,ẩu,Chiên môn là ấu.,Chuyên môn làm ẩu.
Ấu đá,ẩu đả,Là chỉ mà ấu đá rà điênh thỉa?.,Làm cái gì mà ẩu đả nhau như vậy?
Ẩy ẩy,"úi úi, ối ối","Ấy ẩy, là po",
điênh pỉ?.,"Úi úi, làm sao thế",,
vậy?,,,
Ấy,ẩy,Ấy cứa tha.,Ấy cửa ra.
bà,"đụng, chạm (bàn tay vào người hoặc vật)",Thay da bà phái đổng ho.,Bàn tay anh chạm vào lưng tôi.
bà,vịn,Thay bà pao pản cứa.,Tay vịn vào bao cửa.
bá,bả,Chở cho ca ăn bá rề mà nả chít.,Đừng để cho gà ăn bả chuột mà nó chết đấy.
bá,"nôn, mửa",Nả khay rão bá cá têm.,Nó say rượu nôn mửa cả đêm.
bã,bã,"Tố bã chè nì ti, hãm ẩm khác.",Đổ bã chè này đi để hãm ấm khác.
bac ác,bạc ác,Mõl chi mà bac ác mẵn đỉ.,Người gì mà bạc ác như vậy.
bac đãi,bạc đãi,Mõl chi mà bac đãi quả nhơ thỉa.,Người gì mà ăn ở bạc đãi quá như vậy.
bac hà,bạc hà,"Nổ kenh chua mà chăng cỏ bac hà, nả chăng điênh ăn.",Nấu canh chua mà không có bạc hà thì không ngon.
bác,bác,Xin phép bác tôi wềl.,Xin phép bác tôi về.
bác,chặt vục vào bên trong hay chặt cây thành bậc thang để trèo,,
bác hà,khỉ mặt đỏ,Tlước măt tó thớl nhơ bác hà.,Mặt đỏ gay như khỉ mặt đỏ.
bác hõ,bác họ,Bac In là bác hõ cúa ho.,Bác In là bác họ củo tớ.
bác roch,bác ruột,Ông Tư là bác roch tôi.,Ông Tư là bác ruột tôi.
bach kim,bạch kin. platinum,Ay mắt cải chất bach kim nả nhơ thỉa nò?,Ai biết chất bạch kim nó như thế nào?
bach tãng,bạch tạng,Nả là mõl bach tãng.,Nó là người bạch tạng.
bách,"ngoáy, chọc",Mũi tao bách bằng mu.,Dùng múi dao để ngoáy lấy măng mu.
bách,húc,Tlu bách hà.,Trâu húc nhau.
bai,cái mai,Ti chỡ mua chầm mua bai.,Đi chợ mua thuổng mua mai.
bài,bài,"Chăng lo hoc, chí lo bài pỡi pac.",Không lo học hành chỉ lo bài bạc.
bài,"bài (bài hát, bài học)",Ủn Tư tang học bài.,Em Tư đang học bài.
bài,vài,Bài tồng tiền.,Vài đồng bạc.
bài hát,bài hát,"Bài hát ""Tiển quân ca"" là quốc ca Việt Nam.","Bài hát “Tiến quân ca "" là quốc ca Việt Nam."
bài hoc,bài học,Bài hoc nì hay lẳm.,Bồi học này hay lắm.
bài là,bài làm,Bài là cúa ủn phái rồi.,Bài làm của em đúng rồi.
bài luỗn,bài luận,Bài luỗn cúa da thật là chỉ lỉ,Bài luận của em thật là chí lí.
bài pac,"bài bạc, cờ bạc",Muốt bài pac quả hê chăng điênh.,Ham mê bài bạc quá không tốt.
bài tâp,bài tập,Ho tang là bài tập.,Tớ đang làm bài tập.
bài thơ,bài thơ,Bài thơ hay ay i ưa.,Bài thơ hay ai cũng thích.
bài thuốc,bài thuốc,Ho cỏ từ bài thuốc hay lẳm.,Tôi có nhiều bài thuốc hay lắm.
bài tlừ,bài trừ,Phái bài tlừ cho ản nãn ngiễn hút.,Phải bài trừ cho được nạn nghiện hút.
bài vớ,bài vớ,Thứa nò da chăng hoc bài vớ cúa da ti?,Sao con không học bài đi?
bải,vái,Bải chào.,Vái chào.
bải tất,vò đất,Chở tí ủn bải tất.,Đừng để em nhỏ vò đất.
bải điênh,"nhào, vò đất để nặn nên cái gì đó",Bải tất khét điênh pát đênh tĩa.,Đất nặn thành bát đĩa.
bái,rời ra,Chân nhẩm bái khũ.,Chân giẫm làm đá rời ra và rơi xuống.
bãi liêt,bại liệt,Mã Phiểu tà bãi liêt ản hal năm nay rồi.,Bà Phiếu bị bại liệt đã hai năm nay rồi.
bãi lỗ,bại lộ,Chiễn nì mà bãi lỗ đẽ chít hết.,Chuyện này mà bại lộ thì chết hết.
baích,vạt nhọn,Tôi tang baích côt rào.,Tôi đang vạt nhọn cột rào.
bảl,phía,Bảl tlong.,Phía trong.
bảl,chẻ,Ché bảl cáp tha là tũa.,Chẻ thanh tre ra làm đũa.
bảl,"vơ cỏ, làm sạch cỏ bằng tay",Ủn tỉ bải.,Em đi vơ cỏ.
bảl dẫng,"rặng, phía, bên",Chủ nhà ngồi bảl dẫng quèn tlong.,Chủ nhà ngôi ở phía trong.
bảl chờ,mặt dưới,"Bảl chờ là măt đải, bải tiênh là măt lènh.","Mặt dưới là mặt trái, mặt trên là mặt phải."
bảl tỉn,"phía dưới, bên dưới, mặt dưới","Bảl tỉn là măt đải, bál tliênh là măt lành.","Bên dưới là mặt trái, bên trên là mặt phải."
bản,bản (làng),Mõl tlong bản.,Người trong bản.
bản,ván,Nầng nhà lắp bản.,Vách nhà lắp ván.
bản,đẽo,Ho tang bản tỗ nhà.,Tôi đang đềo cột nhà.
bản đáo,bán đảo,Nả thỗi pó mõl điênh phái tày tha bản đáo.,Nó tội giết người nên bị đày ra bán đảo.
bán khai,bản khai,Hảo là wiêc phái nôp bán khai lỉ lich.,Muốn làm việc phải nộp bản khai lí lịch.
bán nháp,"bản nháp, bản ráp",Ni là bán nháp.,Đây ià bản nháp.
bán tin,bản tin,Huôch khảng mởi nhẫn ản môch bán tin.,Cả tháng mới nhận được một bản tin.
bán xao,bản sao,Ni là bán xao.,Đây là bản sao.
bãn,vạn,Pa bãn tồng.,Ba vạn đồng.
bãn đãi,bạn đại,Dẫn bãn đãi.,Đân vạn đại.
bãn lôc,vạn lộc,"Bãn phúc, bãn lôc.","Vạn phúc, vạn lộc."
bang,hoẵng,"Con nì là con bang, chăng phái là con đai.",Con này là con hoẵng chứ không phải con nai.
bang,hoẵng,Bang hốc tliênh rầng.,Hoẵng kêu trên rừng.
bang,"khoang, đốm",Chỏ bang.,Chó khoang.
bang,"mang, khoác",Da tỉ no mà thay xéch kéch bang?,Cô đi đâu mà tay xách nách mang?
bang,"mang, khoác",Bang thông.,Khoác túi.
bang,"mang, khoác",Bang thỗi bang nỡ.,Mang tội mang nợ.
bang bổl,thằn lằn,Con bang bổl ăn ản chăng?,Con thằn lằn ăn được không?
bang khoèo,con cheo cheo,Nhúc con bang khoèo điênh ăn lẳm.,Thịt con cheo cheo ăn ngon lắm.
bảng,"nửa, một nửa",Cho ủn môch bảng tlải pưới.,Cho em một nửa quả bưởi.
bảng,bên,Da ớ bảng nõ đĩ à?,Anh ở bên kia à?
báng dầm,bảng đen,Da la ơn cho ho maĩnh cải báng dầm.,Em làm ơn cho tôi mượn cái bảng đen.
bao,tui,Bao ảo ho dac rồi.,
Túi áo tôi rách rồi.,,,
bao,"bao, gói",Bao tiêm.,Bao điêm.
bao,"bao, gói",Bao chè.,Gói chè.
bao,"bao, gói",Khảng nì ăn hết môch bao cảo.,Tháng này ăn hết một bao gạo.
bao tlùm,bao trùm,Ni là vẩn đề cỏ tỉnh bao tlùm nhất.,Đây là vấn đề có tính bao trùm nhất.
bao khón lả,baothuốc lá,Ho cỏ môch bao khón lả pa con đăm.,Tôi có một bao thuốc lá ba con năm.
bao tưỡn,ruột tượng,Cải bao tưỡng mễ đỉ chắc là từ tiền lẳm.,Cái ruột tượng bà ấy chắc là nhiều tiền lắm.
bảo cảo,báo cáo,Môch tuồn enh phái bảo cảo cho tôi môch lần.,Một tuần anh phải báo cáo cho tôi một lần.
bảo chỉ,báo chí,Nước ha cỏ từ cơ quan bảo chỉ.,Nước ta có nhiều cơ quan báo chí.
bảo dẫi,báo thức,Tồng hồ bảo dãl cã páy dờ.,Đồng hồ báo thức lúc bảy giờ.
bảo đỗng,báo động,Bảo đỗng nhà chẳl.,Báo động nhà cháy.
bảo tin,báo tin,Ho bảo tin mờng cho ông pà hay rằng....,Tôi báo tin mừng cho ông bà biết...
báo vễ,bảo vệ,Tữ báo vễ lễ miềnh.,Tự lo bảo vệ mình.
bão,"bạo, mạnh bạo",Bão mồm bão mẽnh.,Bạo mồm bạo miệng.
